dimin;desc;;;
UXDesign;"Comprendre globalement l’interaction homme-machine Comprendre et appliquer la notion d’utilisateurs Comprendre et appliquer spécifiquement la notion d’expérience utilisateur numérique Comprendre et appliquer les notions d’ergonomie, d’utilisabilité et d’accessibilité Constituer une collection de documents-outils décrivant l’expérience utilisateur";;;
ConceptUI;"Connaître et comprendre les processus et les enjeux de conception d’interface utilisateur Appliquer une méthode et les outils qui s’y rattachent dans un cas pratique";;;
VenteProj; "Du besoin au cahier de charges: Analyser un besoin et formaliser sa description Elaborer le cahier des charges Organiser un appel d’offres (ou y répondre) Du cahier des charges au projet : Analyser un cahier des charges Préparer un projet et l’offre correspondante Assembler et intégrer des composants Présenter une offre Vendre le projet média : Comprendre le processus commercial et ses acteurs Présenter une offre commerciale Gérer la négociation et la contractualisation Planifier et lancer le projet en poursuivant une démarche commerciale de fidélisation Gérer les ventes dans une société de services Comprendre le contexte des marchés publics pour achat/vente de projets médias";;;
WebMobUI;"Être capable de réaliser des applications Web progressive (Progressive Web App) en intégrant un design préalablement conçu Manipuler différentes API's pour la réalisation d'interfaces web modernes Mettre en place des patrons de conception (designs pattern) ";;;
VisualDon;"Connaître différentes technologies de visualisation de données dans un navigateur Web Connaître la pyramide de productivité de ces technologies Comprendre le fonctionnement du langage SVG et de l’API Canvas avec JavaScript Utiliser la librairie d3.js pour créer des visualisation de divers types Utiliser Javascript avec cette librairie pour ajouter de l'animation et de l'interaction Utiliser une librairie de cartographie en ligne (ex. Leaflet) Connaître quelques plateformes de données ouvertes et les formats principaux en vigueur Utiliser des services de données ouvertes pour créer des visualisations Utiliser le “scraping” pour les données “fermées”";;;
DevProdMed;"Mettre en oeuvre des architectures client-serveur en suivant des « design-pattern ». Maîtriser un framework de développement web. Maîtriser les concepts avancés de la programmation serveur. Comprendre et utiliser les fondamentaux de sécurité dans le développement d’application web. Mettre en oeuvre une couche mapping objet-relationnel (ORM) pour la gestion d’une base de données. Réaliser des Web Services simples utilisant une architecture REST like.";;;
PropVal;"Comprendre l'état actuel et les tendances du design des modèles économiques (dont ceux liés aux médias) Mettre en pratique un processus pratique et innovant pour décrire, ‘challenger’ et définir une stratégie concernant les modèles économiques, et en particulier ceux liés aux médias Se confronter à des modèles d'affaires innovants ayant été mis en œuvre par des sociétés allant de la start-up aux sociétés les plus importantes de la planète Explorer, prototyper et tester des modèles d'affaires et des propositions de valeur en utilisant le ‘design thinking’, le développement client et des méthodes ‘lean’";;;
Droit2;"Permettre à l’étudiant de maîtriser les différentes sources de protection des biens immatériels, leurs spécificités et leur articulation.  Présenter les principales infractions pertinentes dans le domaine de l’ingénierie des médias et la mesure de leur application à un ingénieur, respectivement à une entreprise de média, dans un cas concret.  Expliquer le droit de la protection des données suisse et européen (RGPD) et son incidence sur un projet industriel ou marketing concret.  Présenter les principales règles applicables à la publicité afin d’éveiller des réflexes de diligence chez les étudiants avant la mise en œuvre d’une campagne publicitaire.  Expliquer l’articulation entre la responsabilité principale d’un comportement illicite et celle d’un fournisseur de services intermédiaires sur Internet.";;;
LabVeilSoc;"Conduire une étude au sujet des axes et objectifs de veille sociétale y incorporant une analyse des facteurs sociétaux, politiques, législatifs, économiques, culturels, sociaux, médias, éthiques et écologiques et les pratiques digitales avancées y attenant. Identifier des méthodologies de recherche qui permettent d’investiguer les facteurs sociétaux (observation, entretiens, analyse de textes/médias parmi d’autres). S’approprier les outils méthodologiques (grille d’analyse, grille d’observation, analyse et schéma systémique, analyse et schéma conceptuel, arbre d’argument, analyse de contenu, herméneutique…) dans le cadre d’une méthode scientifique de recherche. Sur un sujet de veille proposé, analyser ses limites temporelles et spatiales, ses précurseurs, ses significations sociales, impacts sur le monde économique et des médias, sa trajectoire hypothétique, et la fiabilité des hypothèses émises. Dans l'optique de l’élaboration de contenu pour un ou plusieurs produits médias donnés, rédiger un rapport d’écriture synthétique sur le processus de recherche et en présenter les résultats.";;;
ProjArt;"Appliquer un processus de réalisation d’un prototype de produit média Appliquer les bonnes pratiques de gestion du projet (développement et livraison d’un produit sur base du modèle ""waterfall"") Appliquer les codes de la communication professionnelle";;;
