idModule;nom;semestreFormation;nbCredit;semestre;couleur;;;;;;;;
TheoCom;Bases theoriques de la communication;1;4;S1;#F8F32B;;;;;;;;
BasPratCom;Bases pratiques de la communication;2;7;S2;#EA8FD9;;;;;;;;
BaseMark;Bases theoriques et pratiques du mktng;1;4;S1;#FFD449;;;;;;;;
AnaStraMar;Analyse de marche et strategie mktng;2;4;S2;#DA434C;;;;;;;;
EvMetMed;Evolution et metiers des medias;2;6;S2;#F7EEB4;;;;;;;;
EcoMedia;Economie des medias;1;3;S1;#FF3E41;;;;;;;;
GesBudget;Gestion budgetaire;2;3;S2;#9AE6D8;;;;;;;;
BaScienTec;Bases scientifiques et techniques;1;8;S1;#548C2F;;;;;;;;
TecMedias;Technologies des medias;1;5;S1;#FF7F11;;;;;;;;
BaScienCo;Bases scientifiques et conceptuelles;2;6;S2;#A95EC3;;;;;;;;
TecWeb;Technologies web;2;5;S2;#90EB65;;;;;;;;
Lang;Anglais;1;5;0;#3CBBB1;;;;;;;;
ContMedia;Contenus media;3;6;S1;#F8F32B;;;;;;;;
ConProdMed;Conception de produit media;4;4;S2;#EA8FD9;;;;;;;;
Emarket;E-commerce et marketing strategique;3;4;S1;#FFD449;;;;;;;;
VendreProd;Vendre un produit media;4;3;S2;#DA434C;;;;;;;;
AppWeb;Applications Web;3;8;S1;#FF3E41;;;;;;;;
InterUtil;Interfaces et interactions utilisateur;4;6;S2;#F7EEB4;;;;;;;;
InterInfra;Interoperabilite et infrastructure;3;4;S1;#548C2F;;;;;;;;
DevProdMed;Developpement de produit media;4;4;S2;#9AE6D8;;;;;;;;
GesProj;Gestion de projet;3;4;S1;#FF7F11;;;;;;;;
ModAffMed;Modeles d'affaires des medias;4;3;S2;#A95EC3;;;;;;;;
Socio;Sociologie des medias;3;3;S1;#3CBBB1;;;;;;;;
DroitMed;Droit des medias;4;2;S2;#90EB65;;;;;;;;
MetRecher;Methodologie de recherche;3;2;S1;#A7C4C2;;;;;;;;
VeillSoc;Veille societale;4;2;S2;#9C9FD6;;;;;;;;
ProjArt;Projet d'articulation;4;5;S2;#62AAFF;;;;;;;;
DevHyper;Developpement hypermedia;5;6;S1;#F8F32B;;;;;;;;
EvalPro;Evaluation et optimisation de produit/processus media;5;4;S1;#FFD449;;;;;;;;
Renta;Rentabilite de projets/produits;5;4;S1;#FF3E41;;;;;;;;
UserExLab;User eXperience lab;5;6;S1;#548C2F;;;;;;;;
VeillTech;Veille technologique;5;3;S1;#FF7F11;;;;;;;;
DigiTrends;Digital trends;6;5;S2;#EA8FD9;;;;;;;;
ProfilPro;Profil professionnel;5;3;S1;#3CBBB1;;;;;;;;
CRUNCH;Innovation Crunch Time;6;2;S2;#DA434C;;;;;;;;
ProjInt;Projet d'integration;6;7;S2;#F7EEB4;;;;;;;;
Stage;Stage professionnel;6;6;S2;#9AE6D8;;;;;;;;
TB;Travail de Bachelor;6;14;S2;#A95EC3;;;;;;;;
